iter	Passed	Remaining
0	1	159
1	2	144
2	4	146
3	5	138
4	7	138
5	8	137
6	10	133
7	12	138
8	13	137
9	14	133
10	16	129
11	17	127
12	18	124
13	19	122
14	21	119
15	22	117
16	23	115
17	24	113
18	26	112
19	27	111
20	28	109
21	30	107
22	31	105
23	32	102
24	33	101
25	34	99
26	35	97
27	37	95
28	38	94
29	39	92
30	41	91
31	42	90
32	43	89
33	45	87
34	46	86
35	47	84
36	48	83
37	49	81
38	51	79
39	52	78
40	53	77
41	54	74
42	55	73
43	57	73
44	58	71
45	59	70
46	61	69
47	62	67
48	63	66
49	64	64
50	66	63
51	67	62
52	68	60
53	69	59
54	71	58
55	72	56
56	73	55
57	75	54
58	76	53
59	77	51
60	79	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	43
66	86	42
67	88	41
68	89	40
69	90	38
70	91	37
71	92	36
72	93	34
73	95	33
74	96	32
75	97	30
76	98	29
77	100	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	107	20
84	108	19
85	109	17
86	110	16
87	111	15
88	112	13
89	113	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
